Type,SKU,Name,Published,Short description,Description,Tax status,In stock?,Stock,Regular price,Categories,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Weight (unit),Length (unit),Width (unit),Height (unit),Parent
simple,2640789,Wenkbrauw trim-setje,1,Professioneel wenkbrauw trim-setje voor permanente make-up,Hoogwaardig product voor permanente make-up training en professionele behandelingen. Voldoet aan alle professionele kwaliteitseisen.,taxable,1,17,15,Opleidingsbenodigdheden > Wenkbrauw Tools,,,,,,,,,
simple,2644224,Combinal mini kit,1,Premium combinal mini kit voor permanente make-up,Kwalitatief product voor professionele permanente make-up behandelingen. Voldoet aan alle professionele kwaliteitseisen.,taxable,1,14,25.5,Overig > Wenkbrauw Behandeling,,,,,,,,,
simple,2713270,Nano Lash,1,Premium nano lash voor permanente make-up,Kwalitatief product voor professionele permanente make-up behandelingen. Voldoet aan alle professionele kwaliteitseisen.,taxable,1,20,39.95,Overig > Nano Technologie,,,,,,,,,
simple,2713271,Nano Brow,1,Premium nano brow voor permanente make-up,Kwalitatief product voor professionele permanente make-up behandelingen. Voldoet aan alle professionele kwaliteitseisen.,taxable,1,10,42.95,Overig > Nano Technologie,,,,,,,,,
simple,3039325,Zonnestick La Roche,1,Premium zonnestick la roche voor permanente make-up,Kwalitatief product voor professionele permanente make-up behandelingen. Voldoet aan alle professionele kwaliteitseisen.,taxable,1,8,14.95,Overig > Nazorg Producten,,,,,,,,,
simple,3569705,Lip & wenkbrauw folie 200 meter,1,Professioneel lip & wenkbrauw folie 200 meter voor permanente make-up,Hoogwaardig product voor permanente make-up training en professionele behandelingen. Hygiënische bescherming tijdens behandelingen. Voldoet aan alle professionele kwaliteitseisen.,taxable,1,1000,4.5,Opleidingsbenodigdheden > Wenkbrauw Tools,,,,,,,,,
simple,3569709,Meetlint/Ruler 50 stuks,1,Professioneel meetlint/ruler 50 stuks voor permanente make-up,Hoogwaardig product voor permanente make-up training en professionele behandelingen. Voldoet aan alle professionele kwaliteitseisen.,taxable,1,1000,9.95,Opleidingsbenodigdheden > Meetinstrumenten,,,,,,,,,
variable,3569710-parent,Magic 3D eyebrow pencil,1,Professioneel magic 3d eyebrow pencil voor permanente make-up,Hoogwaardig product voor permanente make-up training en professionele behandelingen. Ideaal voor het voorschetsen van vormen en correcties. Voldoet aan alle professionele kwaliteitseisen.,taxable,,,,Opleidingsbenodigdheden,Kleur,zwart | bruin | wit | rood,1,0,,,,,
variation,3569710,Kleur: zwart,1,,,taxable,1,996,9.95,,Kleur,zwart,0,0,,,,,3569710-parent
variation,3569711,Kleur: bruin,1,,,taxable,1,995,9.95,,Kleur,bruin,0,0,,,,,3569710-parent
variation,3569712,Kleur: wit,1,,,taxable,1,500,9.95,,Kleur,wit,0,0,,,,,3569710-parent
variation,4031932,Kleur: rood,1,,,taxable,1,1000,9.95,,Kleur,rood,0,0,,,,,3569710-parent
variable,3569713-parent,Latex oefenhuid,1,Professioneel latex oefenhuid voor permanente make-up,Hoogwaardig product voor permanente make-up training en professionele behandelingen. Realistische oefenhuid voor het perfectioneren van PMU-technieken. Voldoet aan alle professionele kwaliteitseisen.,taxable,,,,Opleidingsbenodigdheden > Oefenmaterialen,Type,Met voorgetekende wenkbrauwen | Zonder voorgetekende wenkbrauwen,1,0,,,,,
variation,3569713,Type: Met voorgetekende wenkbrauwen,1,,,taxable,1,1000,3.2,,Type,Met voorgetekende wenkbrauwen,0,0,,,,,3569713-parent
variation,3569715,Type: Zonder voorgetekende wenkbrauwen,1,,,taxable,1,1000,3,,Type,Zonder voorgetekende wenkbrauwen,0,0,,,,,3569713-parent
simple,3569716,3 slope naalden- 20 stuks,1,Professioneel 3 slope naalden- 20 stuks voor permanente make-up,Hoogwaardig product voor permanente make-up training en professionele behandelingen. Steriele naalden voor precieze en hygiënische behandelingen. Voldoet aan alle professionele kwaliteitseisen.,taxable,1,100,43.5,Opleidingsbenodigdheden > Naalden,,,,,,,,,
variable,3569717-parent,PMU Naalden - 20 stuks,1,Professioneel pmu naalden - 20 stuks voor permanente make-up,Hoogwaardig product voor permanente make-up training en professionele behandelingen. Steriele naalden voor precieze en hygiënische behandelingen. Voldoet aan alle professionele kwaliteitseisen.,taxable,,,,Opleidingsbenodigdheden > Naalden,Type,1 RL 0.30 | 3RL 0.30 | 3RS 0.30,1,0,,,,,
variation,3569717,Type: 1 RL 0.30,1,,,taxable,1,100,30,,Type,1 RL 0.30,0,0,,,,,3569717-parent
variation,3569719,Type: 3RL 0.30,1,,,taxable,1,100,32.5,,Type,3RL 0.30,0,0,,,,,3569717-parent
variation,3569720,Type: 3RS 0.30,1,,,taxable,1,100,32.5,,Type,3RS 0.30,0,0,,,,,3569717-parent
simple,3569721,Medisch instrumenten schaaltje- 1 stuk,1,Professioneel medisch instrumenten schaaltje- 1 stuk voor permanente make-up,Hoogwaardig product voor permanente make-up training en professionele behandelingen. Voldoet aan alle professionele kwaliteitseisen.,taxable,1,200,7.5,Opleidingsbenodigdheden > Instrumenten,,,,,,,,,
simple,3848956,Mast | Permanente Make-up Apparaat,1,Professioneel mast | permanente make-up apparaat,Hoogwaardig product voor permanente make-up training en professionele behandelingen. Geavanceerde technologie voor professionele resultaten. Voldoet aan alle professionele kwaliteitseisen.,taxable,1,50,300,Opleidingsbenodigdheden > Apparatuur,,,,,,,,,
